timestamp,Starboard Thermal Radiator Rotating Joint (TRRJ) Position [°],Loop A (Stbd) Pump Flowrate [kg/hr],Loop A (Stbd) PM Out Press [kPa],Loop A (Stbd) PM Out Temp [°C]
1751604060,24.79431,3371.6665,1947.38831,3.95199
1751604120,24.7998,3371.6665,1945.27576,3.95199
1751604180,24.78881,3371.6665,1945.27576,4.01456
1751604240,24.7998,3371.6665,1945.27576,4.01456
1751604300,24.78881,3371.6665,1945.27576,3.95199
1751604360,24.7998,3371.6665,1945.27576,3.95199
1751604420,24.78881,3371.6665,1945.27576,3.95199
1751604480,24.78881,3371.6665,1945.27576,3.88942
1751604540,24.78881,3358.21924,1945.27576,3.88942
1751604600,24.7998,3385.11353,1945.27576,3.82685
1751604660,24.78881,3371.6665,1945.27576,3.82685
1751604720,24.7998,3371.6665,1945.27576,3.88942
1751604780,24.7998,3385.11353,1945.27576,3.82685
1751604840,24.7998,3371.6665,1945.27576,3.82685
1751604900,24.7998,3385.11353,1947.38831,3.76427
1751604960,24.7998,3399.14526,1947.38831,3.76427
1751605020,24.78881,3385.11353,1947.38831,3.76427
1751605080,24.7998,3385.11353,1947.38831,3.76427
1751605140,24.7998,3371.6665,1947.38831,3.82685
1751605200,24.79431,3371.6665,1947.38831,3.82685
1751605260,24.78881,3371.6665,1947.38831,3.88942
1751605320,24.7998,3385.11353,1947.38831,3.88942
1751605380,24.7998,3371.6665,1947.38831,3.88942
1751605440,24.7998,3358.21924,1947.38831,3.88942
1751605500,24.7998,3385.11353,1945.27576,3.88942
1751605560,24.7998,3371.6665,1945.27576,3.88942
1751605620,24.7998,3385.11353,1945.27576,3.88942
1751605680,24.7998,3358.21924,1947.38831,3.88942
1751605740,24.7998,3358.21924,1945.27576,3.82685
1751605800,24.78881,3371.6665,1945.27576,3.82685
1751605860,24.78881,3385.11353,1945.27576,3.82685
1751605920,24.78881,3385.11353,1945.27576,3.82685
1751605980,24.7998,3371.6665,1945.27576,3.82685
1751606040,24.78881,3385.11353,1945.27576,3.76427
1751606100,24.79431,3358.21924,1943.16321,3.76427
1751606160,24.7998,3399.14526,1943.16321,3.76427
1751606220,24.7998,3371.6665,1943.16321,3.76427
1751606280,24.7998,3371.6665,1941.05066,3.7017
1751606340,24.78881,3385.11353,1941.05066,3.7017
