timestamp,SSRMS SR Measured Joint Position [°],SSRMS SY Measured Joint Position [°],SSRMS SP Measured Joint Position [°],SSRMS EP Measured Joint Position [°],SSRMS WP Measured Joint Position [°],SSRMS WY Measured Joint Position [°],SSRMS WR Measured Joint Position [°]
1751793660,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793720,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793780,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793840,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793900,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793960,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794020,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794080,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794140,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794200,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794260,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794320,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794380,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794440,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794500,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794560,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794620,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794680,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794740,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794800,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794860,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794920,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751794980,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795040,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795100,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795160,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795220,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795280,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795340,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795400,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795460,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795520,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795580,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795640,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795700,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795760,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795820,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795880,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751795940,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796000,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796060,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796120,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796180,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796240,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796300,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796360,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796420,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796480,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796540,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796600,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751796660,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
